duration,maxGrip,maxGripTime,maxGripTimeRel,condition,type,period,gripType,num,file,obsisSubj,obsisSession,obsisTrial,fins,stick,stickcm,orientation,stickcmCentered,stickFiveRef,stickNineRef,stickElevenRef,finsSumCoded,X1,Lcat
2.641666667,86.41684146,1.416666667,0.536277603,2,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_002.csv,93,1,2,open,five,5,horizontal,-3,five,five,five,open,NA,Signers
2.058333333,90.58005172,1.208333333,0.587044534,3,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_002.csv,93,1,2,closed,five,5,horizontal,-3,five,five,five,closed,NA,Signers
2.208333333,101.1948538,1.5,0.679245283,5,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_002.csv,93,1,2,open,seven,7,horizontal,-1,seven,seven,seven,open,NA,Signers
1.908333333,93.75236013,1.283333333,0.672489083,6,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_002.csv,93,1,2,closed,seven,7,horizontal,-1,seven,seven,seven,closed,NA,Signers
2.008333333,110.7524426,1.416666667,0.705394191,8,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_002.csv,93,1,2,open,nine,9,horizontal,1,nine,nine,nine,open,NA,Signers
2.041666667,110.6012736,1.416666667,0.693877551,9,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_002.csv,93,1,2,closed,nine,9,horizontal,1,nine,nine,nine,closed,NA,Signers
1.908333333,121.8859594,1.6,0.838427948,11,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_002.csv,93,1,2,open,eleven,11,horizontal,3,eleven,eleven,eleven,open,NA,Signers
6.633333333,129.7410449,6.308333333,0.951005025,12,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_002.csv,93,1,2,closed,eleven,11,horizontal,3,eleven,eleven,eleven,closed,NA,Signers
1.408333333,89.8743392,0.891666667,0.633136095,2,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_003.csv,93,1,3,open,five,5,horizontal,-3,five,five,five,open,NA,Signers
1.508333333,80.26082394,0.866666667,0.574585635,3,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_003.csv,93,1,3,closed,five,5,horizontal,-3,five,five,five,closed,NA,Signers
1.741666667,103.0389264,1,0.574162679,5,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_003.csv,93,1,3,open,seven,7,horizontal,-1,seven,seven,seven,open,NA,Signers
1.958333333,93.8351258,1.608333333,0.821276596,6,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_003.csv,93,1,3,closed,seven,7,horizontal,-1,seven,seven,seven,closed,NA,Signers
1.391666667,105.1499097,0.958333333,0.688622754,8,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_003.csv,93,1,3,open,nine,9,horizontal,1,nine,nine,nine,open,NA,Signers
1.475,109.0955556,1.058333333,0.717514124,9,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_003.csv,93,1,3,closed,nine,9,horizontal,1,nine,nine,nine,closed,NA,Signers
1.45,123.4442966,1.441666667,0.994252874,11,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_003.csv,93,1,3,open,eleven,11,horizontal,3,eleven,eleven,eleven,open,NA,Signers
1.075,115.7081988,1.075,1,12,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_003.csv,93,1,3,closed,eleven,11,horizontal,3,eleven,eleven,eleven,closed,NA,Signers
1.275,83.57852267,0.816666667,0.640522876,2,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_004.csv,93,1,4,open,five,5,horizontal,-3,five,five,five,open,NA,Signers
1.608333333,86.09031155,0.9,0.559585492,3,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_004.csv,93,1,4,closed,five,5,horizontal,-3,five,five,five,closed,NA,Signers
1.758333333,97.20543763,1,0.568720379,5,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_004.csv,93,1,4,open,seven,7,horizontal,-1,seven,seven,seven,open,NA,Signers
1.891666667,97.09719643,1.066666667,0.563876652,6,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_004.csv,93,1,4,closed,seven,7,horizontal,-1,seven,seven,seven,closed,NA,Signers
1.966666667,111.5922568,1.083333333,0.550847458,8,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_004.csv,93,1,4,open,nine,9,horizontal,1,nine,nine,nine,open,NA,Signers
1.308333333,106.2141675,1.075,0.821656051,9,ACTION,GRIP,NA,0,./ABtestASL/GRI_093/GRI_093-SESSION_001-TRIAL_004.csv,93,1,4,closed,nine,9,horizontal,1,nine,nine,nine,closed,NA,Signers
