duration,maxGrip,maxGripTime,maxGripTimeRel,condition,type,period,gripType,num,file,obsisSubj,obsisSession,obsisTrial,fins,stick,stickcm,orientation,stickcmCentered,stickFiveRef,stickNineRef,stickElevenRef,finsSumCoded
1.7916666666666667,97.2849329779488,1.3666666666666667,0.7627906976744185,1,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_003.csv,063,001,003,none,five,5,horizontal,-3,five,five,five,none
0.8,93.4951822880263,0.39166666666666666,0.4895833333333333,2,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_003.csv,063,001,003,open,five,5,horizontal,-3,five,five,five,open
0.975,93.4230141007213,0.75,0.7692307692307693,3,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_003.csv,063,001,003,closed,five,5,horizontal,-3,five,five,five,closed
0.8833333333333333,120.043929008351,0.24166666666666667,0.27358490566037735,4,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_003.csv,063,001,003,none,seven,7,horizontal,-1,seven,seven,seven,none
0.8083333333333333,111.627136783395,0.375,0.4639175257731959,5,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_003.csv,063,001,003,open,seven,7,horizontal,-1,seven,seven,seven,open
0.7333333333333333,105.849919848508,0.475,0.6477272727272727,6,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_003.csv,063,001,003,closed,seven,7,horizontal,-1,seven,seven,seven,closed
1.125,127.343786208994,0.75,0.6666666666666666,7,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_003.csv,063,001,003,none,nine,9,horizontal,1,nine,nine,nine,none
0.725,127.58043167303,0.5333333333333333,0.735632183908046,8,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_003.csv,063,001,003,open,nine,9,horizontal,1,nine,nine,nine,open
1.375,126.331629048429,1.125,0.8181818181818182,9,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_003.csv,063,001,003,closed,nine,9,horizontal,1,nine,nine,nine,closed
1.0666666666666667,135.836204675457,0.7,0.65625,10,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_003.csv,063,001,003,none,eleven,11,horizontal,3,eleven,eleven,eleven,none
1.275,138.344796773085,1.0083333333333333,0.7908496732026145,11,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_003.csv,063,001,003,open,eleven,11,horizontal,3,eleven,eleven,eleven,open
1.45,134.89299886311,0.7916666666666666,0.5459770114942528,12,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_003.csv,063,001,003,closed,eleven,11,horizontal,3,eleven,eleven,eleven,closed
0.8833333333333333,100.522758062403,0.5166666666666666,0.5849056603773585,1,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_004.csv,063,001,004,none,five,5,horizontal,-3,five,five,five,none
1.75,96.5152415490345,0.725,0.41428571428571426,2,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_004.csv,063,001,004,open,five,5,horizontal,-3,five,five,five,open
1.25,97.2422991438933,0.9,0.72,3,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_004.csv,063,001,004,closed,five,5,horizontal,-3,five,five,five,closed
0.8083333333333333,112.161194088868,0.5,0.6185567010309279,4,ACTION,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_004.csv,063,001,004,none,seven,7,horizontal,-1,seven,seven,seven,none
