"","duration","maxGrip","maxGripTime","maxGripTimeRel","condition","type","period","gripType","num","file","obsisSubj","obsisSession","obsisTrial","fins","stick","stickcm","orientation","stickcmCentered","stickFiveRef","stickNineRef","stickElevenRef","finsSumCoded"
"1",0.558333333333333,74.8550750907958,0,0,"1","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_002.csv","093","002","002","none","five",5,"horizontal",-3,"five","five","five","none"
"2",0.391666666666667,100.557524139536,0.0166666666666667,0.0425531914893617,"2","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_002.csv","093","002","002","open","five",5,"horizontal",-3,"five","five","five","open"
"3",0.558333333333333,58.7105760082466,0,0,"3","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_002.csv","093","002","002","closed","five",5,"horizontal",-3,"five","five","five","closed"
"4",0.7,111.807832026106,0,0,"4","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_002.csv","093","002","002","none","seven",7,"horizontal",-1,"seven","seven","seven","none"
"5",0.941666666666667,100.342659254291,0.175,0.185840707964602,"5","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_002.csv","093","002","002","open","seven",7,"horizontal",-1,"seven","seven","seven","open"
"6",0.466666666666667,85.4183832375552,0.025,0.0535714285714286,"6","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_002.csv","093","002","002","closed","seven",7,"horizontal",-1,"seven","seven","seven","closed"
"7",0.591666666666667,117.031735902359,0,0,"7","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_002.csv","093","002","002","none","nine",9,"horizontal",1,"nine","nine","nine","none"
"8",0.675,117.611152307002,0,0,"8","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_002.csv","093","002","002","open","nine",9,"horizontal",1,"nine","nine","nine","open"
"9",0.816666666666667,111.40016776426,0.466666666666667,0.571428571428571,"9","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_002.csv","093","002","002","closed","nine",9,"horizontal",1,"nine","nine","nine","closed"
"10",0.258333333333333,123.349702247026,0,0,"10","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_002.csv","093","002","002","none","eleven",11,"horizontal",3,"eleven","eleven","eleven","none"
"11",0.55,130.572508467071,0.108333333333333,0.196969696969697,"11","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_002.csv","093","002","002","open","eleven",11,"horizontal",3,"eleven","eleven","eleven","open"
"12",0.383333333333333,125.668321912664,0,0,"12","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_002.csv","093","002","002","closed","eleven",11,"horizontal",3,"eleven","eleven","eleven","closed"
"13",0.6,71.5932892261041,0,0,"1","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_003.csv","093","002","003","none","five",5,"horizontal",-3,"five","five","five","none"
"14",0.908333333333333,92.7767021647045,0.175,0.192660550458716,"2","ESTIMATION","STEADY",NA,0,"./ABtestASL/GRI_093/GRI_093-SESSION_002-TRIAL_003.csv","093","002","003","open","five",5,"horizontal",-3,"five","five","five","open"
