duration,maxGrip,maxGripTime,maxGripTimeRel,condition,type,period,gripType,num,file,obsisSubj,obsisSession,obsisTrial,fins,stick,stickcm,orientation,stickcmCentered,stickFiveRef,stickNineRef,stickElevenRef,finsSumCoded
1.4916666666666667,54.3288488361984,0.85,0.5698324022346368,2,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_010.csv,063,002,010,open,five,5,horizontal,-3,five,five,five,open
2.175,49.3356830007316,1.45,0.6666666666666667,3,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_010.csv,063,002,010,closed,five,5,horizontal,-3,five,five,five,closed
1.2666666666666666,47.527463796363,0.95,0.75,5,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_010.csv,063,002,010,open,seven,7,horizontal,-1,seven,seven,seven,open
1.3583333333333334,36.4039341480242,0.48333333333333334,0.3558282208588957,7,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_010.csv,063,002,010,none,nine,9,horizontal,1,nine,nine,nine,none
1.15,54.9115924661235,1.1416666666666666,0.9927536231884059,10,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_010.csv,063,002,010,none,eleven,11,horizontal,3,eleven,eleven,eleven,none
1.3416666666666666,42.7656521787869,0.8166666666666667,0.6086956521739131,1,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_011.csv,063,002,011,none,five,5,horizontal,-3,five,five,five,none
1.3916666666666666,70.4968954742165,0.5666666666666667,0.40718562874251496,4,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_011.csv,063,002,011,none,seven,7,horizontal,-1,seven,seven,seven,none
2.1416666666666666,55.8849885242482,1.3916666666666666,0.6498054474708171,6,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_011.csv,063,002,011,closed,seven,7,horizontal,-1,seven,seven,seven,closed
1.7666666666666666,73.9649989072975,1.1333333333333333,0.6415094339622641,9,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_011.csv,063,002,011,closed,nine,9,horizontal,1,nine,nine,nine,closed
1.2083333333333333,73.9952549724208,0.5,0.4137931034482759,11,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_011.csv,063,002,011,open,eleven,11,horizontal,3,eleven,eleven,eleven,open
1.9916666666666667,46.6451708740798,1.1416666666666666,0.5732217573221757,12,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_011.csv,063,002,011,closed,eleven,11,horizontal,3,eleven,eleven,eleven,closed
1.5666666666666667,83.7637617702816,0.9249999999999999,0.5904255319148936,4,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_012.csv,063,002,012,none,seven,7,horizontal,-1,seven,seven,seven,none
1.1166666666666667,53.4958250040799,0.44166666666666665,0.39552238805970147,5,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_012.csv,063,002,012,open,seven,7,horizontal,-1,seven,seven,seven,open
1.5166666666666666,62.7776611849259,1.05,0.6923076923076924,7,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_012.csv,063,002,012,none,nine,9,horizontal,1,nine,nine,nine,none
0.9916666666666667,66.1707110260632,0.39166666666666666,0.3949579831932773,8,GESTURE,GRIP,NA,0,./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_012.csv,063,002,012,open,nine,9,horizontal,1,nine,nine,nine,open
